source_ip,destination_ip,destination_port,protocol,timestamp
80.91.158.121,0.33.97.141,59379,ICMP,9/7/2022
247.14.254.143,229.120.147.136,26825,ICMP,12/15/2022
113.114.81.87,41.134.130.219,22287,TCP,7/3/2022
70.62.24.60,233.119.22.73,43895,TCP,7/26/2022
200.86.50.169,122.20.102.79,34577,TCP,10/23/2022
9.134.12.167,164.173.16.159,51490,TCP,12/28/2022
139.241.87.169,81.152.42.82,56165,ICMP,10/18/2022
209.225.120.163,94.241.118.99,8126,TCP,6/16/2022
155.55.146.254,78.4.67.1,50063,UDP,6/20/2022
240.222.15.133,130.240.161.41,47892,TCP,8/29/2022
212.158.107.216,79.47.30.228,32506,UDP,7/20/2022
199.191.198.218,93.60.211.17,56812,ICMP,10/22/2022
44.108.121.23,182.56.135.157,30694,UDP,3/2/2022
211.51.76.33,150.71.22.101,38062,TCP,12/26/2022
8.15.212.252,31.51.43.47,54691,TCP,12/29/2022
194.100.44.83,103.85.131.119,32393,ICMP,7/31/2022
241.65.134.178,245.252.76.13,51237,ICMP,9/17/2022
100.83.150.7,54.130.99.38,37291,ICMP,1/2/2022
204.10.86.15,154.213.138.55,48657,TCP,5/11/2022
255.150.134.233,148.45.178.53,21942,ICMP,8/13/2022
33.195.2.184,35.232.148.172,26712,ICMP,1/18/2022
64.132.39.224,225.251.247.92,53845,ICMP,4/28/2022
184.248.165.233,174.84.132.231,24782,ICMP,11/30/2022
36.58.30.128,124.38.236.67,39452,TCP,10/22/2022
89.64.62.167,61.89.8.126,23055,ICMP,4/9/2022
177.210.179.78,197.27.137.244,49915,TCP,6/6/2022
75.54.48.90,21.157.216.81,44520,ICMP,12/5/2022
149.106.159.41,116.219.170.241,62441,ICMP,7/2/2022
112.45.87.52,222.119.205.161,46622,ICMP,2/13/2022
242.93.54.88,109.219.108.227,29147,TCP,6/29/2022
175.155.78.88,160.54.142.134,16778,TCP,7/20/2022
190.220.85.15,121.169.238.58,2027,TCP,1/26/2022
142.55.56.44,118.39.141.176,6084,UDP,12/17/2022
223.50.209.113,243.120.208.226,60154,UDP,9/26/2022
164.81.32.120,147.223.197.39,2852,TCP,1/17/2022
178.39.52.163,181.227.195.181,35095,ICMP,4/25/2022
42.96.170.176,172.146.205.54,54894,TCP,3/14/2022
233.137.53.119,220.180.252.232,10094,TCP,1/12/2022
75.244.122.39,48.228.34.96,10115,ICMP,10/3/2022
110.166.165.142,6.201.200.242,26465,TCP,10/7/2022
114.3.253.36,195.221.214.128,13929,ICMP,9/8/2022
42.32.230.136,191.99.239.43,37726,UDP,10/24/2022
43.81.116.159,21.12.180.251,63320,UDP,9/7/2022
105.9.123.114,74.130.20.177,41902,UDP,11/23/2022
191.162.110.29,60.92.87.208,54720,TCP,8/7/2022
158.184.190.151,211.85.161.89,20996,TCP,6/8/2022
168.81.195.199,185.76.246.188,7749,ICMP,2/18/2022
92.113.192.1,37.212.142.197,21460,ICMP,10/26/2022
188.239.225.1,25.7.5.127,20776,UDP,3/29/2022
244.41.177.228,175.109.206.121,83,UDP,7/2/2022
35.81.204.238,196.43.124.202,30781,ICMP,7/5/2022
57.73.94.122,120.217.61.224,10798,TCP,6/8/2022
187.188.182.226,31.229.92.158,24483,UDP,7/29/2022
15.180.0.62,88.22.245.98,25911,ICMP,2/12/2022
71.219.214.131,107.139.73.85,40556,UDP,11/4/2022
203.217.253.100,255.8.217.112,24377,UDP,8/25/2022
232.34.175.5,163.83.145.48,52329,TCP,5/22/2022
